⍬,Empty Numeric Vector <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Symbols/Zilde%20Symbol.htm'>Link to docs<a/>,"Primitive,Array,nan,Expression,"
⊢Y,Same: Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Same.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Identity,"
X dop Y⊢Z,Separate dyadic operator's right operand from its right argument (same as (X dop Y)Z ) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Same.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Identity,"
X⊢Y,Right: Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Right.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Identity,"
X⊢Y,"Church Boolean false (X if false, else Y) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Right.htm'>Link to docs<a/>","Primitive,Dyadic Function,nan,Boolean/Logical,"
⊣Y,Same: Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Same.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Identity,"
X⊣Y,Left: X <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Left.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Identity,"
X⊣Y,"Church Boolean true (X if true, else Y) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Left.htm'>Link to docs<a/>","Primitive,Dyadic Function,nan,Boolean/Logical,"
+Y,Conjugate ('Identity' if Y not complex) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Conjugate.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
+N,Mirror complex N across x-axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Conjugate.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Circular/Trigonometric,"
M+N,Adding N to M <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Add.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
-N,Negate: 0-N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Negative.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
M-N,Subtracting N from M <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Subtract.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
×N,Direction ('Signum' if N is real) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Direction.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
M×N,Multiplying M and N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Multiply.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
M×N,Probabilistic AND <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Multiply.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
A×N,"Selecting elements satisfying condition A, others to 0 <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Multiply.htm'>Link to docs<a/>","Primitive,Dyadic Function,nan,Boolean/Logical,"
M∨N,Greatest Common Divisor of M and N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Or%20Greatest%20Common%20Divisor.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
A∨B,Logical OR <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Or%20Greatest%20Common%20Divisor.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
M∧N,Lowest Common Multiple of M and N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/And%20Lowest%20Common%20Multiple.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
A∧B,Logical AND <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/And%20Lowest%20Common%20Multiple.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
⌈N,Rounding up to integer <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Ceiling.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
M⌈N,Maximum of M and N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Maximum.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
⌊N,Rounding down to integer <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Floor.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
M⌊N,Minimum of M and N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Minimum.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
