1<br/>,"<span style=""white-space:pre; font-family: monospace"">1
</span>"
¯1<br/>,"<span style=""white-space:pre; font-family: monospace"">¯1
</span>"
1.5<br/>,"<span style=""white-space:pre; font-family: monospace"">1.5
</span>"
0j4<br/>,"<span style=""white-space:pre; font-family: monospace"">0J4
</span>"
¯5j¯6<br/>,"<span style=""white-space:pre; font-family: monospace"">¯5J¯6
</span>"
]Boxing on -style=max<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→────────────────┐
│Was ON -style=max│
└─────────────────┘
</span>"
2 3 1<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→────┐
│2 3 1│
└~────┘
</span>"
2 ¯3 1<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→─────┐
│2 ¯3 1│
└~─────┘
</span>"
0j4 ¯5j¯6<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→────────┐
│0J4 ¯5J¯6│
└~────────┘
</span>"
1 2 3 4 (1 2)<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→──────────────┐
│         ┌→──┐ │
│ 1 2 3 4 │1 2│ │
│         └~──┘ │
└∊──────────────┘
</span>"
(1 2)(3 4)<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→────────────┐
│ ┌→──┐ ┌→──┐ │
│ │1 2│ │3 4│ │
│ └~──┘ └~──┘ │
└∊────────────┘
</span>"
(1 2)(3 4)5<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→──────────────┐
│ ┌→──┐ ┌→──┐   │
│ │1 2│ │3 4│ 5 │
│ └~──┘ └~──┘   │
└∊──────────────┘
</span>"
- 4<br/>,"<span style=""white-space:pre; font-family: monospace"">  
¯4
  
</span>"
- ¯4<br/>,"<span style=""white-space:pre; font-family: monospace""> 
4
 
</span>"
- 4 2 0 ¯3 ¯5<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→──────────┐
│¯4 ¯2 0 3 5│
└~──────────┘
</span>"
¯4 2 0 ¯3 ¯5<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→───────────┐
│¯4 2 0 ¯3 ¯5│
└~───────────┘
</span>"
3-2<br/>,"<span style=""white-space:pre; font-family: monospace""> 
1
 
</span>"
3 2 1 - 4 5 1<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→──────┐
│¯1 ¯3 0│
└~──────┘
</span>"
3 2 1 - 1<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→────┐
│2 1 0│
└~────┘
</span>"
1 - 3 2 1<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→──────┐
│¯2 ¯1 0│
└~──────┘
</span>"
+ 1.2<br/>,"<span style=""white-space:pre; font-family: monospace"">   
1.2
   
</span>"
+ ¯5j¯6<br/>,"<span style=""white-space:pre; font-family: monospace"">    
¯5J6
    
</span>"
+ 1.2 0j4 ¯5j¯6<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→────────────┐
│1.2 0J¯4 ¯5J6│
└~────────────┘
</span>"
3+2<br/>,"<span style=""white-space:pre; font-family: monospace""> 
5
 
</span>"
3 2 1 + 4 5 1<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→────┐
│7 7 2│
└~────┘
</span>"
3 2 1 + 1<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→────┐
│4 3 2│
└~────┘
</span>"
1 + 3 2 1<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→────┐
│4 3 2│
└~────┘
</span>"
÷ 3 ¯2 3j4<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→───────────────────────────┐
│0.3333333333 ¯0.5 0.12J¯0.16│
└~───────────────────────────┘
</span>"
3÷2<br/>,"<span style=""white-space:pre; font-family: monospace"">   
1.5
   
</span>"
3÷2 2.5 ¯1<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→─────────┐
│1.5 1.2 ¯3│
└~─────────┘
</span>"
3 2 1÷2 2.5 ¯1<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→─────────┐
│1.5 0.8 ¯1│
└~─────────┘
</span>"
× 3.1 ¯2 0 3j4<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→─────────────┐
│1 ¯1 0 0.6J0.8│
└~─────────────┘
</span>"
3×2<br/>,"<span style=""white-space:pre; font-family: monospace""> 
6
 
</span>"
3×2 2.5 ¯1<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→───────┐
│6 7.5 ¯3│
└~───────┘
</span>"
3 2 1×2 2.5 ¯1<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→─────┐
│6 5 ¯1│
└~─────┘
</span>"
* 0 1 2<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→────────────────────────┐
│1 2.718281828 7.389056099│
└~────────────────────────┘
</span>"
49 5 ¯4 * 0.5 2 0.5<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→───────┐
│7 25 0J2│
└~───────┘
</span>"
3×2+1<br/>,"<span style=""white-space:pre; font-family: monospace""> 
9
 
</span>"
1 2 3×2+1<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→────┐
│3 6 9│
└~────┘
</span>"
1 2 3×2+2 4 6<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→──────┐
│4 12 24│
└~──────┘
</span>"
3 ¯5 + 4<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→───┐
│7 ¯1│
└~───┘
</span>"
8*÷3<br/>,"<span style=""white-space:pre; font-family: monospace""> 
2
 
</span>"
a<br/>,"<span style=""white-space:pre; font-family: monospace""> 
3
 
</span>"
⎕←a←3<br/>,"<span style=""white-space:pre; font-family: monospace""> 
3
 
</span>"
b<br/>,"<span style=""white-space:pre; font-family: monospace"">┌→──┐
│3 4│
└~──┘
</span>"
{⍵×2} 4<br/>,"<span style=""white-space:pre; font-family: monospace""> 
8
 
</span>"
f 4<br/>,"<span style=""white-space:pre; font-family: monospace""> 
8
 
</span>"
3 g 4<br/>,"<span style=""white-space:pre; font-family: monospace"">  
20
  
</span>"
h 4<br/>,"<span style=""white-space:pre; font-family: monospace"">  
10
  
</span>"
a<br/>,"<span style=""white-space:pre; font-family: monospace""> 
3
 
</span>"
