Plus Sign<br/><br/>What does this glyph look like?,+ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to symbol documentation</a>,Name->Sym
Monadic: Conjugate<br/><br/>What does this glyph look like?,+ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to symbol documentation</a>,Name->Sym
"If Y is complex, R is Y with the imaginary part of all elements negated. <br/> If Y is real or non-numeric, R is the same array unchanged, although ⊣ is faster. See Same. <br/><br/>What does this glyph look like?",+ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Conjugate.htm'>Take me to primitive function documentation</a>,Docs->Sym
Conjugate<br/><br/>What does this glyph do?,"If Y is complex, R is Y with the imaginary part of all elements negated. <br/> If Y is real or non-numeric, R is the same array unchanged, although ⊣ is faster. See Same.  <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Conjugate.htm'>Take me to primitive function documentation</a>",Name->Docs
"If Y is complex, R is Y with the imaginary part of all elements negated. <br/> If Y is real or non-numeric, R is the same array unchanged, although ⊣ is faster. See Same. <br/><br/>What is the name of this glyph?",Conjugate <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Conjugate.htm'>Take me to primitive function documentation</a>,Docs->Name
Dyadic: Plus<br/><br/>What does this glyph look like?,+ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to symbol documentation</a>,Name->Sym
Y must be numeric.  X must be numeric.  R is the arithmetic sum of X and Y.  R is numeric. This function is also known as Plus.<br/><br/>What does this glyph look like?,+ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Add.htm'>Take me to primitive function documentation</a>,Docs->Sym
Add<br/><br/>What does this glyph look like?,+ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Add.htm'>Take me to primitive function documentation</a>,Name->Sym
Add<br/><br/>What does this glyph do?,Y must be numeric.  X must be numeric.  R is the arithmetic sum of X and Y.  R is numeric. This function is also known as Plus. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Add.htm'>Take me to primitive function documentation</a>,Name->Docs
Y must be numeric.  X must be numeric.  R is the arithmetic sum of X and Y.  R is numeric. This function is also known as Plus.<br/><br/>What is the name of this glyph?,Add <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Add.htm'>Take me to primitive function documentation</a>,Docs->Name
+<br/><br/>What does this glyph do?,Y must be numeric.  X must be numeric.  R is the arithmetic sum of X and Y.  R is numeric. This function is also known as Plus. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Conjugate.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Add.htm'>Take me to Link</a>,Sym->Docs
+<br/><br/>What is this glyph called?  What's the Monadic/Dyadic names?,Plus Sign <br/> Monadic: Conjugate <br/> Dyadic: Plus <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to symbol documentation</a>,Sym->Name
Minus Sign;Bar<br/><br/>What does this glyph look like?,- <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to symbol documentation</a>,Name->Sym
Monadic: Negate<br/><br/>What does this glyph look like?,- <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to symbol documentation</a>,Name->Sym
Y may be any numeric array. R is numeric and is the negative value of Y. For complex numbers both the real and imaginary parts are negated.<br/><br/>What does this glyph look like?,- <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Negative.htm'>Take me to primitive function documentation</a>,Docs->Sym
Negative<br/><br/>What does this glyph look like?,- <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Negative.htm'>Take me to primitive function documentation</a>,Name->Sym
Negative<br/><br/>What does this glyph do?,Y may be any numeric array. R is numeric and is the negative value of Y. For complex numbers both the real and imaginary parts are negated. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Negative.htm'>Take me to primitive function documentation</a>,Name->Docs
Y may be any numeric array. R is numeric and is the negative value of Y. For complex numbers both the real and imaginary parts are negated.<br/><br/>What is the name of this glyph?,Negative <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Negative.htm'>Take me to primitive function documentation</a>,Docs->Name
Dyadic: Minus;Subtract<br/><br/>What does this glyph look like?,- <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to symbol documentation</a>,Name->Sym
Y may be any numeric array.  X may be any numeric array. R is numeric. The value of R is the difference between X and Y. <br/> This function is also known as Minus.<br/><br/>What does this glyph look like?,- <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Subtract.htm'>Take me to primitive function documentation</a>,Docs->Sym
Subtract<br/><br/>What does this glyph do?,Y may be any numeric array.  X may be any numeric array. R is numeric. The value of R is the difference between X and Y. <br/> This function is also known as Minus. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Subtract.htm'>Take me to primitive function documentation</a>,Name->Docs
Y may be any numeric array.  X may be any numeric array. R is numeric. The value of R is the difference between X and Y. <br/> This function is also known as Minus.<br/><br/>What is the name of this glyph?,Subtract <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Subtract.htm'>Take me to primitive function documentation</a>,Docs->Name
-<br/><br/>What does this glyph do?,Y may be any numeric array.  X may be any numeric array. R is numeric. The value of R is the difference between X and Y. <br/> This function is also known as Minus. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Negative.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Subtract.htm'>Take me to Link</a>,Sym->Docs
-<br/><br/>What is this glyph called?  What's the Monadic/Dyadic names?,Minus Sign;Bar <br/> Monadic: Negate <br/> Dyadic: Minus;Subtract <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to symbol documentation</a>,Sym->Name
Times Sign<br/><br/>What does this glyph look like?,× <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to symbol documentation</a>,Name->Sym
Monadic: Direction<br/><br/>What does this glyph look like?,× <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to symbol documentation</a>,Name->Sym
"Y may be any numeric array.  <br/> Where an element of Y is real, the corresponding element of R is an integer whose value indicates whether the value is negative (¯1), zero (0) or positive (1). <br/> Where an element of Y is complex, the corresponding element of R is a number with the same phase but with magnitude (absolute value) 1. It is equivalent to Y÷|Y. <br/><br/>What does this glyph look like?",× <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Direction.htm'>Take me to primitive function documentation</a>,Docs->Sym
Direction(Signum)<br/><br/>What does this glyph look like?,× <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Direction.htm'>Take me to primitive function documentation</a>,Name->Sym
Direction(Signum)<br/><br/>What does this glyph do?,"Y may be any numeric array.  <br/> Where an element of Y is real, the corresponding element of R is an integer whose value indicates whether the value is negative (¯1), zero (0) or positive (1). <br/> Where an element of Y is complex, the corresponding element of R is a number with the same phase but with magnitude (absolute value) 1. It is equivalent to Y÷|Y.  <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Direction.htm'>Take me to primitive function documentation</a>",Name->Docs
"Y may be any numeric array.  <br/> Where an element of Y is real, the corresponding element of R is an integer whose value indicates whether the value is negative (¯1), zero (0) or positive (1). <br/> Where an element of Y is complex, the corresponding element of R is a number with the same phase but with magnitude (absolute value) 1. It is equivalent to Y÷|Y. <br/><br/>What is the name of this glyph?",Direction(Signum) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Direction.htm'>Take me to primitive function documentation</a>,Docs->Name
Dyadic: Times<br/><br/>What does this glyph look like?,× <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to symbol documentation</a>,Name->Sym
Y may be any numeric array.  X may be any numeric array.  R is the arithmetic product of X and Y. <br/> This function is also known as Times.<br/><br/>What does this glyph look like?,× <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Multiply.htm'>Take me to primitive function documentation</a>,Docs->Sym
Multiply<br/><br/>What does this glyph look like?,× <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Multiply.htm'>Take me to primitive function documentation</a>,Name->Sym
Multiply<br/><br/>What does this glyph do?,Y may be any numeric array.  X may be any numeric array.  R is the arithmetic product of X and Y. <br/> This function is also known as Times. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Multiply.htm'>Take me to primitive function documentation</a>,Name->Docs
Y may be any numeric array.  X may be any numeric array.  R is the arithmetic product of X and Y. <br/> This function is also known as Times.<br/><br/>What is the name of this glyph?,Multiply <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Multiply.htm'>Take me to primitive function documentation</a>,Docs->Name
×<br/><br/>What does this glyph do?,Y may be any numeric array.  X may be any numeric array.  R is the arithmetic product of X and Y. <br/> This function is also known as Times. <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Direction.htm'>Take me to Link</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Multiply.htm'>Take me to Link</a>,Sym->Docs
×<br/><br/>What is this glyph called?  What's the Monadic/Dyadic names?,Times Sign <br/> Monadic: Direction <br/> Dyadic: Times <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to symbol documentation</a>,Sym->Name
Divide Sign<br/><br/>What does this glyph look like?,÷ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to symbol documentation</a>,Name->Sym
Monadic: Reciprocal<br/><br/>What does this glyph look like?,÷ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to symbol documentation</a>,Name->Sym
"Y must be a numeric array.  R is numeric.  R is the reciprocal of Y; that is 1÷Y.  If ⎕DIV=0, ÷0 results in a DOMAIN ERROR.  If ⎕DIV=1, ÷0 returns 0. <br/> ⎕DIV is an implicit argument of Reciprocal.<br/><br/>What does this glyph look like?",÷ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to symbol documentation</a> <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Primitive Functions/Reciprocal.htm'>Take me to primitive function documentation</a>,Docs->Sym
