Plus Sign,+
Monadic: Conjugate,+
"If Y is complex, R is Y with the imaginary part of all elements negated.<br/>If Y is real or non-numeric, R is the same array unchanged, although ⊣ is faster. See Same. ",+
+,"If Y is complex, R is Y with the imaginary part of all elements negated.<br/>If Y is real or non-numeric, R is the same array unchanged, although ⊣ is faster. See Same. "
Conjugate,"If Y is complex, R is Y with the imaginary part of all elements negated.<br/>If Y is real or non-numeric, R is the same array unchanged, although ⊣ is faster. See Same. "
"If Y is complex, R is Y with the imaginary part of all elements negated.<br/>If Y is real or non-numeric, R is the same array unchanged, although ⊣ is faster. See Same. ",Conjugate
Dyadic: Plus,+
Y must be numeric.  X must be numeric.  R is the arithmetic sum of X and Y.  R is numeric. This function is also known as Plus.,+
+,Y must be numeric.  X must be numeric.  R is the arithmetic sum of X and Y.  R is numeric. This function is also known as Plus.
Add,+
Add,Y must be numeric.  X must be numeric.  R is the arithmetic sum of X and Y.  R is numeric. This function is also known as Plus.
Y must be numeric.  X must be numeric.  R is the arithmetic sum of X and Y.  R is numeric. This function is also known as Plus.,Add
+,Plus Sign<br/>Monadic: Conjugate<br/>Dyadic: Plus
Minus Sign;Bar,-
Monadic: Negate,-
Y may be any numeric array. R is numeric and is the negative value of Y. For complex numbers both the real and imaginary parts are negated.,-
-,Y may be any numeric array. R is numeric and is the negative value of Y. For complex numbers both the real and imaginary parts are negated.
Negative,-
Negative,Y may be any numeric array. R is numeric and is the negative value of Y. For complex numbers both the real and imaginary parts are negated.
Y may be any numeric array. R is numeric and is the negative value of Y. For complex numbers both the real and imaginary parts are negated.,Negative
Dyadic: Minus;Subtract,-
Y may be any numeric array.  X may be any numeric array. R is numeric. The value of R is the difference between X and Y.<br/>This function is also known as Minus.,-
-,Y may be any numeric array.  X may be any numeric array. R is numeric. The value of R is the difference between X and Y.<br/>This function is also known as Minus.
Subtract,Y may be any numeric array.  X may be any numeric array. R is numeric. The value of R is the difference between X and Y.<br/>This function is also known as Minus.
Y may be any numeric array.  X may be any numeric array. R is numeric. The value of R is the difference between X and Y.<br/>This function is also known as Minus.,Subtract
-,Minus Sign;Bar<br/>Monadic: Negate<br/>Dyadic: Minus;Subtract
Times Sign,×
Monadic: Direction,×
"Y may be any numeric array. <br/>Where an element of Y is real, the corresponding element of R is an integer whose value indicates whether the value is negative (¯1), zero (0) or positive (1).<br/>Where an element of Y is complex, the corresponding element of R is a number with the same phase but with magnitude (absolute value) 1. It is equivalent to Y÷|Y. ",×
×,"Y may be any numeric array. <br/>Where an element of Y is real, the corresponding element of R is an integer whose value indicates whether the value is negative (¯1), zero (0) or positive (1).<br/>Where an element of Y is complex, the corresponding element of R is a number with the same phase but with magnitude (absolute value) 1. It is equivalent to Y÷|Y. "
Direction(Signum),×
Direction(Signum),"Y may be any numeric array. <br/>Where an element of Y is real, the corresponding element of R is an integer whose value indicates whether the value is negative (¯1), zero (0) or positive (1).<br/>Where an element of Y is complex, the corresponding element of R is a number with the same phase but with magnitude (absolute value) 1. It is equivalent to Y÷|Y. "
"Y may be any numeric array. <br/>Where an element of Y is real, the corresponding element of R is an integer whose value indicates whether the value is negative (¯1), zero (0) or positive (1).<br/>Where an element of Y is complex, the corresponding element of R is a number with the same phase but with magnitude (absolute value) 1. It is equivalent to Y÷|Y. ",Direction(Signum)
Dyadic: Times,×
Y may be any numeric array.  X may be any numeric array.  R is the arithmetic product of X and Y.<br/>This function is also known as Times.,×
×,Y may be any numeric array.  X may be any numeric array.  R is the arithmetic product of X and Y.<br/>This function is also known as Times.
Multiply,×
Multiply,Y may be any numeric array.  X may be any numeric array.  R is the arithmetic product of X and Y.<br/>This function is also known as Times.
Y may be any numeric array.  X may be any numeric array.  R is the arithmetic product of X and Y.<br/>This function is also known as Times.,Multiply
×,Times Sign<br/>Monadic: Direction<br/>Dyadic: Times
Divide Sign,÷
Monadic: Reciprocal,÷
