⍬,Empty Numeric Vector <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Symbols/Zilde%20Symbol.htm'>Link to docs<a/>
⊢Y,Same: Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Same.htm'>Link to docs<a/>
X dop Y⊢Z,Separate dyadic operator's right operand from its right argument (same as (X dop Y)Z ) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Same.htm'>Link to docs<a/>
X⊢Y,Right: Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Right.htm'>Link to docs<a/>
X⊢Y,"Church Boolean false (X if false, else Y) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Right.htm'>Link to docs<a/>"
⊣Y,Same: Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Same.htm'>Link to docs<a/>
X⊣Y,Left: X <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Left.htm'>Link to docs<a/>
X⊣Y,"Church Boolean true (X if true, else Y) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Left.htm'>Link to docs<a/>"
+Y,Conjugate ('Identity' if Y not complex) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Conjugate.htm'>Link to docs<a/>
+N,Mirror complex N across x-axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Conjugate.htm'>Link to docs<a/>
M+N,Adding N to M <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Add.htm'>Link to docs<a/>
-N,Negate: 0-N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Negative.htm'>Link to docs<a/>
M-N,Subtracting N from M <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Subtract.htm'>Link to docs<a/>
×N,Direction ('Signum' if N is real) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Direction.htm'>Link to docs<a/>
M×N,Multiplying M and N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Multiply.htm'>Link to docs<a/>
M×N,Probabilistic AND <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Multiply.htm'>Link to docs<a/>
A×N,"Selecting elements satisfying condition A, others to 0 <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Multiply.htm'>Link to docs<a/>"
M∨N,Greatest Common Divisor of M and N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Or%20Greatest%20Common%20Divisor.htm'>Link to docs<a/>
A∨B,Logical OR <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Or%20Greatest%20Common%20Divisor.htm'>Link to docs<a/>
M∧N,Lowest Common Multiple of M and N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/And%20Lowest%20Common%20Multiple.htm'>Link to docs<a/>
A∧B,Logical AND <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/And%20Lowest%20Common%20Multiple.htm'>Link to docs<a/>
⌈N,Rounding up to integer <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Ceiling.htm'>Link to docs<a/>
M⌈N,Maximum of M and N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Maximum.htm'>Link to docs<a/>
⌊N,Rounding down to integer <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Floor.htm'>Link to docs<a/>
M⌊N,Minimum of M and N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Minimum.htm'>Link to docs<a/>
⌽Y,Reverse last axis of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Reverse.htm'>Link to docs<a/>
⌽Ym,Reflect vertically <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Rotate.htm'>Link to docs<a/>
I⌽Y,Rotate vectors along last axis of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Rotate.htm'>Link to docs<a/>
⊖Y,Reverse leading axis of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Reverse%20First.htm'>Link to docs<a/>
⊖Ym,Reflect horizontally <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Rotate%20First.htm'>Link to docs<a/>
I⊖Y,Rotate vectors along leading axis of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Rotate%20First.htm'>Link to docs<a/>
÷N,Reciprocal: 1÷N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Reciprocal.htm'>Link to docs<a/>
M÷N,Dividing M by N <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Divide.htm'>Link to docs<a/>
|N,Magnitude (absolute value) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Magnitude.htm'>Link to docs<a/>
M|N,Residue after dividing N by M <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Residue.htm'>Link to docs<a/>
!N,Factorial (Gamma function of N+1) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Factorial.htm'>Link to docs<a/>
M!N,"Number of selections of size M from N (using Beta function): C(N,M) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Binomial.htm'>Link to docs<a/>"
