Monadic  -<br/><br/>What's the name?, (Negate) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to -</a>
Monadic <br/><br/> (Negate)<br/><br/>What's the symbol look like?,- <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to -</a>
Dyadic  -<br/><br/>What's the name?, (Minus; subtract) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to -</a>
Dyadic <br/><br/> (Minus; subtract)<br/><br/>What's the symbol look like?,- <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Minus Sign.htm'>Take me to -</a>
Monadic  +<br/><br/>What's the name?, (Conjugate) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to +</a>
Monadic <br/><br/> (Conjugate)<br/><br/>What's the symbol look like?,+ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to +</a>
Dyadic  +<br/><br/>What's the name?, (Plus) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to +</a>
Dyadic <br/><br/> (Plus)<br/><br/>What's the symbol look like?,+ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Plus Sign.htm'>Take me to +</a>
Monadic  |<br/><br/>What's the name?, (Magnitude) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to |</a>
Monadic <br/><br/> (Magnitude)<br/><br/>What's the symbol look like?,| <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to |</a>
Dyadic  |<br/><br/>What's the name?, (Residue;Modulus) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to |</a>
Dyadic <br/><br/> (Residue;Modulus)<br/><br/>What's the symbol look like?,| <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Stile.htm'>Take me to |</a>
Monadic  ÷<br/><br/>What's the name?, (Reciprocol) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to ÷</a>
Monadic <br/><br/> (Reciprocol)<br/><br/>What's the symbol look like?,÷ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to ÷</a>
Dyadic  ÷<br/><br/>What's the name?, (Divided by) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to ÷</a>
Dyadic <br/><br/> (Divided by)<br/><br/>What's the symbol look like?,÷ <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Divide Sign.htm'>Take me to ÷</a>
Monadic  ×<br/><br/>What's the name?, (Direction) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to ×</a>
Monadic <br/><br/> (Direction)<br/><br/>What's the symbol look like?,× <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to ×</a>
Dyadic  ×<br/><br/>What's the name?, (Times) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to ×</a>
Dyadic <br/><br/> (Times)<br/><br/>What's the symbol look like?,× <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Times Sign.htm'>Take me to ×</a>
Monadic  *<br/><br/>What's the name?, (Exponential) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Star.htm'>Take me to *</a>
Monadic <br/><br/> (Exponential)<br/><br/>What's the symbol look like?,* <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Star.htm'>Take me to *</a>
Dyadic  *<br/><br/>What's the name?, (Power) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Star.htm'>Take me to *</a>
Dyadic <br/><br/> (Power)<br/><br/>What's the symbol look like?,* <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Star.htm'>Take me to *</a>
Monadic  !<br/><br/>What's the name?, (factorial) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Exclamation Mark.htm'>Take me to !</a>
Monadic <br/><br/> (factorial)<br/><br/>What's the symbol look like?,! <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Exclamation Mark.htm'>Take me to !</a>
Dyadic  !<br/><br/>What's the name?, (Binomial) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Exclamation Mark.htm'>Take me to !</a>
Dyadic <br/><br/> (Binomial)<br/><br/>What's the symbol look like?,! <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Exclamation Mark.htm'>Take me to !</a>
Monadic  ?<br/><br/>What's the name?, (Roll) <br/><br/><a href='https://help.dyalog.com/18.2/Content/Language/Symbols/Question Mark.htm'>Take me to ?</a>
